index,age,job,marital,education,default,balance,loan
7567,34.0,technician,married,secondary,no,1234.0,no
7568,38.0,blue-collar,single,primary,no,0.0,yes
7569,35.0,blue-collar,single,secondary,no,142.0,no
7570,41.0,management,married,tertiary,no,-4.0,no
7571,43.0,blue-collar,married,secondary,no,2.0,yes
7572,43.0,technician,married,secondary,no,-330.0,yes
7573,27.0,management,single,tertiary,no,1137.0,no
7574,52.0,self-employed,married,tertiary,no,583.0,no
7575,33.0,technician,married,tertiary,no,0.0,no
7576,33.0,technician,single,secondary,no,220.0,no
7577,34.0,management,single,tertiary,no,5945.0,no
7578,59.0,self-employed,married,tertiary,no,6237.0,no
7579,39.0,services,married,secondary,no,100.0,no
7580,42.0,blue-collar,divorced,primary,no,28.0,no
7581,30.0,blue-collar,married,secondary,no,194.0,no
7582,57.0,retired,married,primary,no,3518.0,no
7583,57.0,services,married,secondary,no,68.0,no
7584,31.0,self-employed,single,unknown,no,7118.0,no
7585,40.0,self-employed,married,secondary,no,167.0,yes
7586,34.0,unemployed,single,secondary,no,233.0,no
7587,35.0,technician,single,tertiary,no,275.0,no
7588,57.0,retired,divorced,secondary,no,1029.0,no
7589,37.0,blue-collar,married,primary,no,120.0,no
7590,41.0,blue-collar,married,secondary,no,2039.0,no
7591,42.0,management,divorced,tertiary,no,357.0,no
7592,38.0,blue-collar,married,secondary,no,6994.0,no
7593,42.0,admin.,single,secondary,no,-149.0,yes
7594,59.0,blue-collar,married,primary,no,6271.0,no
7595,57.0,blue-collar,divorced,secondary,no,75.0,no
7596,32.0,blue-collar,married,primary,no,2085.0,yes
7597,53.0,technician,divorced,unknown,no,629.0,no
7598,37.0,technician,married,secondary,no,1613.0,no
7599,33.0,technician,single,secondary,no,3806.0,no
7600,48.0,management,single,tertiary,no,0.0,yes
7601,30.0,management,single,tertiary,no,277.0,no
7602,41.0,admin.,divorced,secondary,no,639.0,no
7603,45.0,self-employed,married,secondary,no,264.0,no
7604,39.0,management,married,tertiary,no,3518.0,no
7605,32.0,technician,married,secondary,no,56.0,no
7606,36.0,management,married,tertiary,no,591.0,no
7607,25.0,blue-collar,single,primary,no,758.0,no
7608,37.0,management,divorced,tertiary,yes,-1.0,yes
7609,44.0,services,married,primary,no,2386.0,no
7610,53.0,self-employed,married,tertiary,no,167.0,no
7611,31.0,services,divorced,primary,no,459.0,no
7612,30.0,technician,married,secondary,no,3875.0,no
7613,34.0,blue-collar,divorced,secondary,no,-131.0,no
7614,56.0,blue-collar,married,secondary,no,471.0,no
7615,35.0,blue-collar,married,secondary,no,0.0,no
7616,35.0,technician,divorced,secondary,no,44.0,yes
7617,54.0,management,married,tertiary,no,656.0,yes
7618,43.0,admin.,married,secondary,no,544.0,no
7619,34.0,management,married,tertiary,no,1495.0,no
7620,40.0,blue-collar,single,secondary,no,322.0,no
7621,42.0,blue-collar,married,secondary,no,3.0,no
7622,40.0,services,divorced,primary,no,4.0,no
7623,43.0,admin.,married,secondary,no,24.0,no
7624,27.0,services,married,secondary,no,58.0,no
7625,54.0,management,divorced,secondary,no,300.0,no
7626,33.0,services,single,secondary,no,1646.0,no
7627,40.0,housemaid,divorced,secondary,no,1194.0,no
7628,32.0,technician,single,tertiary,no,514.0,yes
7629,33.0,blue-collar,single,secondary,no,381.0,no
7630,26.0,unknown,divorced,secondary,no,-295.0,no
7631,51.0,blue-collar,married,secondary,no,285.0,yes
7632,59.0,retired,married,primary,no,-47.0,no
7633,30.0,blue-collar,divorced,secondary,no,292.0,no
7634,33.0,blue-collar,married,primary,no,0.0,no
7635,30.0,admin.,married,tertiary,no,400.0,no
7636,38.0,blue-collar,divorced,secondary,no,887.0,no
7637,56.0,admin.,single,secondary,no,1854.0,no
7638,42.0,technician,divorced,secondary,no,324.0,no
7639,39.0,management,single,tertiary,no,968.0,no
7640,38.0,services,married,secondary,no,369.0,no
7641,44.0,management,married,tertiary,no,-84.0,no
7642,31.0,management,single,tertiary,no,874.0,no
7643,37.0,self-employed,single,tertiary,no,2441.0,yes
7644,31.0,management,married,tertiary,no,917.0,no
7645,29.0,admin.,single,secondary,no,-194.0,no
7646,51.0,management,married,secondary,no,441.0,no
7647,40.0,management,married,tertiary,no,105.0,yes
7648,38.0,management,married,tertiary,no,3724.0,no
7649,33.0,management,married,tertiary,no,29.0,no
7650,37.0,services,married,secondary,no,343.0,yes
7651,27.0,blue-collar,married,secondary,no,245.0,no
7652,33.0,admin.,married,secondary,no,-370.0,no
7653,29.0,admin.,single,tertiary,no,422.0,no
7654,25.0,entrepreneur,single,tertiary,no,140.0,no
7655,35.0,technician,married,secondary,no,883.0,no
7656,47.0,services,married,secondary,no,1629.0,no
7657,36.0,management,single,tertiary,no,260.0,no
7658,32.0,services,married,secondary,no,426.0,yes
7659,33.0,technician,divorced,secondary,no,250.0,yes
7660,45.0,management,married,tertiary,no,1033.0,no
7661,35.0,blue-collar,single,primary,no,1147.0,yes
7662,34.0,services,single,secondary,no,-38.0,no
7663,24.0,blue-collar,single,secondary,no,6837.0,no
7664,28.0,services,single,secondary,no,6332.0,no
7665,35.0,blue-collar,single,secondary,yes,-177.0,yes
7666,36.0,entrepreneur,married,tertiary,no,280.0,no
7667,41.0,management,married,primary,no,733.0,no
7668,41.0,services,single,primary,no,5907.0,no
7669,36.0,admin.,single,secondary,no,0.0,yes
7670,36.0,management,single,tertiary,no,-679.0,yes
7671,31.0,self-employed,married,tertiary,no,259.0,no
7672,40.0,admin.,single,secondary,no,178.0,no
7673,31.0,blue-collar,single,unknown,no,461.0,no
7674,45.0,entrepreneur,married,tertiary,no,3689.0,no
7675,58.0,retired,married,secondary,no,-324.0,no
7676,33.0,admin.,single,tertiary,no,475.0,no
7677,39.0,management,married,tertiary,no,3.0,no
7678,33.0,blue-collar,married,primary,no,494.0,no
7679,30.0,admin.,married,secondary,no,187.0,no
7680,47.0,management,single,tertiary,no,714.0,no
7681,42.0,management,married,tertiary,no,1435.0,no
7682,28.0,blue-collar,married,secondary,no,251.0,no
7683,29.0,services,single,secondary,no,3331.0,no
7684,37.0,management,divorced,tertiary,no,641.0,no
7685,50.0,blue-collar,married,secondary,yes,0.0,no
7686,30.0,admin.,single,secondary,no,222.0,no
7687,33.0,technician,single,secondary,no,151.0,no
7688,32.0,blue-collar,single,secondary,no,1291.0,no
7689,50.0,entrepreneur,married,secondary,no,806.0,yes
7690,26.0,management,single,tertiary,no,114.0,no
7691,36.0,management,married,secondary,no,396.0,no
7692,30.0,blue-collar,single,secondary,no,959.0,no
7693,39.0,blue-collar,married,secondary,no,-219.0,no
7694,42.0,blue-collar,married,primary,no,1461.0,no
7695,32.0,technician,single,tertiary,no,127.0,no
7696,34.0,management,divorced,tertiary,no,94.0,no
7697,38.0,technician,single,tertiary,no,178.0,no
7698,27.0,technician,single,secondary,no,-211.0,no
7699,39.0,management,married,secondary,no,46.0,no
7700,44.0,blue-collar,married,primary,no,134.0,no
7701,38.0,admin.,divorced,secondary,no,673.0,no
7702,32.0,technician,single,secondary,no,129.0,no
7703,37.0,management,married,tertiary,no,900.0,no
7704,38.0,blue-collar,single,secondary,no,4860.0,no
7705,33.0,self-employed,single,tertiary,no,544.0,no
7706,32.0,technician,single,secondary,no,1210.0,yes
7707,32.0,management,single,tertiary,no,41.0,no
7708,24.0,blue-collar,married,primary,no,-247.0,no
7709,39.0,blue-collar,married,secondary,no,0.0,no
7710,36.0,blue-collar,married,unknown,no,-400.0,yes
7711,39.0,management,divorced,tertiary,no,81.0,yes
7712,30.0,blue-collar,married,secondary,no,-71.0,no
7713,34.0,technician,single,secondary,no,440.0,no
7714,29.0,management,married,tertiary,no,0.0,no
7715,39.0,technician,married,secondary,no,147.0,no
7716,35.0,management,married,tertiary,no,802.0,no
7717,35.0,technician,single,tertiary,no,275.0,no
7718,46.0,technician,single,secondary,no,747.0,no
7719,57.0,management,married,primary,no,2911.0,yes
7720,31.0,management,married,tertiary,no,-692.0,yes
7721,31.0,self-employed,single,secondary,no,148.0,yes
7722,22.0,blue-collar,married,secondary,no,223.0,no
7723,45.0,management,married,tertiary,no,-206.0,no
7724,30.0,services,single,secondary,no,20.0,no
7725,38.0,management,single,tertiary,no,104.0,no
7726,37.0,blue-collar,married,secondary,no,-57.0,yes
7727,35.0,technician,married,secondary,no,-1459.0,no
7728,42.0,blue-collar,married,primary,no,2111.0,no
7729,37.0,admin.,single,secondary,no,22.0,no
7730,30.0,admin.,single,secondary,no,122.0,no
7731,45.0,blue-collar,married,primary,no,692.0,yes
7732,49.0,management,married,tertiary,no,2809.0,no
7733,40.0,management,single,tertiary,no,269.0,no
7734,48.0,blue-collar,married,primary,no,-254.0,no
7735,35.0,blue-collar,married,primary,no,2953.0,no
7736,44.0,admin.,divorced,secondary,no,49.0,no
7737,41.0,technician,married,secondary,no,741.0,no
7738,31.0,blue-collar,married,secondary,no,1407.0,no
7739,46.0,blue-collar,married,secondary,no,-1400.0,no
7740,39.0,unemployed,married,primary,no,1147.0,yes
7741,29.0,blue-collar,married,secondary,no,100.0,yes
7742,38.0,technician,single,secondary,no,435.0,no
7743,20.0,student,single,secondary,no,602.0,no
7744,39.0,student,single,tertiary,no,1107.0,no
7745,43.0,entrepreneur,married,secondary,no,0.0,no
7746,53.0,blue-collar,married,secondary,no,-71.0,no
7747,34.0,management,single,tertiary,no,705.0,no
7748,43.0,blue-collar,married,primary,no,289.0,no
7749,36.0,blue-collar,married,secondary,no,777.0,no
7750,43.0,technician,married,secondary,no,-705.0,no
7751,43.0,admin.,married,unknown,no,1998.0,no
7752,32.0,self-employed,single,secondary,no,356.0,no
7753,36.0,management,married,tertiary,no,152.0,no
7754,35.0,technician,married,secondary,no,2468.0,no
7755,60.0,management,married,tertiary,no,6.0,no
7756,40.0,management,married,tertiary,no,1598.0,yes
7757,39.0,self-employed,married,secondary,no,1304.0,yes
7758,48.0,management,married,secondary,no,3663.0,no
7759,31.0,technician,married,tertiary,no,313.0,no
7760,34.0,management,single,tertiary,no,2679.0,no
7761,30.0,services,married,secondary,no,0.0,no
7762,58.0,retired,married,primary,no,-102.0,yes
7763,35.0,blue-collar,married,secondary,no,-701.0,yes
7764,53.0,blue-collar,married,primary,no,0.0,yes
7765,30.0,management,married,secondary,no,-559.0,yes
7766,26.0,blue-collar,single,secondary,no,7475.0,no
7767,52.0,admin.,married,primary,no,,no
7768,33.0,admin.,single,tertiary,no,490.0,no
7769,31.0,blue-collar,married,secondary,no,990.0,yes
7770,28.0,admin.,married,secondary,no,0.0,no
7771,32.0,management,married,tertiary,no,2465.0,yes
7772,32.0,technician,married,secondary,no,169.0,no
7773,50.0,admin.,single,secondary,no,2040.0,no
7774,31.0,management,single,tertiary,no,23.0,no
7775,36.0,blue-collar,married,secondary,no,89.0,no
7776,29.0,admin.,divorced,secondary,no,504.0,no
7777,31.0,blue-collar,married,secondary,no,1326.0,no
7778,41.0,blue-collar,married,primary,no,293.0,yes
7779,24.0,services,single,secondary,no,14.0,no
7780,28.0,blue-collar,single,secondary,yes,87.0,no
7781,34.0,management,single,tertiary,no,171.0,no
7782,41.0,technician,married,secondary,no,128.0,no
7783,31.0,self-employed,single,tertiary,no,253.0,no
7784,56.0,entrepreneur,divorced,tertiary,no,151.0,no
7785,25.0,services,married,secondary,no,10.0,no
7786,34.0,technician,single,tertiary,no,-552.0,no
7787,31.0,technician,married,secondary,no,522.0,yes
7788,48.0,technician,married,secondary,no,505.0,no
7789,32.0,blue-collar,single,secondary,no,1402.0,no
7790,40.0,entrepreneur,married,primary,no,324.0,no
7791,34.0,blue-collar,married,secondary,no,4.0,yes
7792,36.0,blue-collar,married,secondary,no,975.0,no
7793,34.0,blue-collar,married,secondary,no,0.0,yes
7794,26.0,student,single,secondary,no,502.0,no
7795,50.0,management,married,tertiary,no,29.0,no
7796,26.0,student,single,secondary,no,1209.0,no
7797,58.0,entrepreneur,divorced,secondary,no,0.0,no
7798,26.0,services,single,secondary,no,1700.0,no
7799,29.0,services,divorced,secondary,no,92.0,no
7800,26.0,management,single,tertiary,no,199.0,no
7801,54.0,blue-collar,married,primary,no,-864.0,no
7802,54.0,management,married,primary,no,3185.0,yes
7803,35.0,technician,divorced,secondary,no,2777.0,no
7804,51.0,blue-collar,married,secondary,no,16.0,yes
7805,34.0,unemployed,married,secondary,no,2173.0,yes
7806,37.0,management,married,tertiary,no,1780.0,no
7807,48.0,admin.,married,secondary,no,-30.0,no
7808,41.0,technician,single,secondary,no,32.0,no
7809,53.0,blue-collar,single,unknown,no,160.0,no
7810,41.0,technician,single,tertiary,no,5365.0,no
7811,30.0,blue-collar,married,secondary,no,-109.0,yes
7812,34.0,entrepreneur,married,secondary,no,393.0,no
7813,51.0,blue-collar,married,primary,no,6343.0,no
7814,43.0,management,divorced,tertiary,no,-166.0,yes
7815,47.0,services,married,secondary,no,278.0,no
7816,50.0,services,married,primary,no,5024.0,yes
7817,34.0,blue-collar,married,unknown,no,0.0,no
7818,48.0,services,married,secondary,no,1323.0,yes
7819,35.0,blue-collar,married,tertiary,no,199.0,yes
7820,51.0,services,married,secondary,no,1703.0,no
7821,43.0,blue-collar,single,primary,no,181.0,no
7822,53.0,blue-collar,married,secondary,no,148.0,no
7823,40.0,blue-collar,married,primary,no,32.0,no
7824,51.0,blue-collar,married,secondary,no,160.0,no
7825,49.0,technician,married,secondary,no,0.0,no
7826,36.0,blue-collar,married,secondary,no,0.0,no
7827,44.0,services,married,primary,no,3.0,no
7828,54.0,blue-collar,married,primary,no,6242.0,no
7829,50.0,services,divorced,secondary,no,339.0,no
7830,51.0,technician,married,secondary,no,-1944.0,no
7831,55.0,blue-collar,married,secondary,no,2854.0,no
7832,57.0,retired,married,secondary,no,455.0,no
7833,34.0,technician,single,secondary,no,94.0,no
7834,32.0,management,married,tertiary,no,1544.0,no
7835,50.0,management,married,secondary,no,0.0,yes
7836,40.0,management,single,tertiary,no,0.0,no
7837,37.0,technician,married,secondary,no,827.0,yes
7838,42.0,admin.,married,secondary,no,874.0,no
7839,38.0,blue-collar,married,primary,no,1.0,no
7840,37.0,management,single,tertiary,no,815.0,no
7841,40.0,technician,single,secondary,no,1001.0,yes
7842,50.0,blue-collar,married,secondary,no,16.0,no
7843,45.0,housemaid,married,tertiary,no,0.0,no
7844,39.0,technician,single,tertiary,no,741.0,no
7845,28.0,blue-collar,married,secondary,no,-470.0,no
7846,28.0,management,single,tertiary,no,682.0,no
7847,28.0,blue-collar,married,secondary,no,922.0,no
7848,47.0,blue-collar,married,primary,no,328.0,no
7849,25.0,admin.,single,secondary,no,122.0,no
7850,46.0,management,married,secondary,no,21.0,no
7851,35.0,technician,single,secondary,no,1467.0,yes
7852,43.0,blue-collar,divorced,primary,no,1234.0,no
7853,51.0,blue-collar,divorced,primary,no,57.0,yes
7854,27.0,student,single,tertiary,no,37.0,no
7855,23.0,blue-collar,single,secondary,no,537.0,no
7856,47.0,blue-collar,married,primary,no,206.0,yes
7857,41.0,technician,married,secondary,no,77.0,no
7858,35.0,blue-collar,single,secondary,no,2227.0,no
7859,42.0,services,single,secondary,no,2348.0,no
7860,28.0,technician,single,secondary,no,618.0,no
7861,35.0,management,single,tertiary,no,714.0,no
7862,59.0,management,divorced,tertiary,yes,-23.0,no
7863,28.0,technician,married,secondary,no,7449.0,no
7864,54.0,management,divorced,tertiary,no,2625.0,no
7865,33.0,technician,married,tertiary,no,15169.0,no
7866,30.0,management,single,tertiary,no,492.0,no
7867,53.0,technician,single,tertiary,no,757.0,no
7868,47.0,blue-collar,divorced,primary,no,223.0,no
7869,56.0,blue-collar,married,unknown,no,982.0,yes
7870,54.0,blue-collar,married,primary,no,489.0,yes
7871,31.0,management,single,secondary,no,202.0,no
7872,32.0,blue-collar,single,primary,no,216.0,no
7873,43.0,blue-collar,divorced,secondary,no,-91.0,yes
7874,51.0,services,married,secondary,no,753.0,no
7875,23.0,technician,single,unknown,no,231.0,no
7876,31.0,entrepreneur,single,tertiary,no,734.0,no
7877,36.0,admin.,single,secondary,no,9.0,no
7878,40.0,unemployed,divorced,secondary,no,193.0,no
7879,47.0,admin.,married,secondary,no,175.0,no
7880,28.0,blue-collar,single,primary,no,553.0,no
7881,24.0,technician,single,secondary,no,1371.0,yes
7882,51.0,services,married,tertiary,no,218.0,no
7883,33.0,blue-collar,married,secondary,no,478.0,no
7884,32.0,blue-collar,single,secondary,no,-219.0,no
7885,34.0,services,married,secondary,no,-99.0,yes
7886,31.0,entrepreneur,married,tertiary,no,-231.0,no
7887,30.0,entrepreneur,married,secondary,yes,-388.0,no
7888,40.0,blue-collar,divorced,secondary,no,0.0,no
7889,58.0,blue-collar,married,unknown,no,807.0,no
7890,31.0,technician,single,secondary,no,656.0,no
7891,40.0,blue-collar,married,secondary,no,1938.0,no
7892,31.0,entrepreneur,single,tertiary,no,667.0,no
7893,38.0,technician,married,secondary,no,0.0,yes
7894,36.0,blue-collar,married,secondary,no,2095.0,no
7895,55.0,blue-collar,married,primary,no,728.0,no
7896,32.0,blue-collar,married,secondary,no,489.0,no
7897,34.0,technician,divorced,secondary,no,592.0,no
7898,25.0,services,married,secondary,no,51.0,yes
7899,33.0,technician,married,tertiary,no,-370.0,no
7900,46.0,technician,married,secondary,no,1596.0,no
7901,35.0,admin.,married,secondary,no,0.0,no
7902,28.0,services,married,secondary,no,15.0,no
7903,45.0,admin.,single,secondary,no,-101.0,no
7904,41.0,technician,married,secondary,no,4711.0,no
7905,60.0,blue-collar,married,unknown,no,2090.0,no
7906,49.0,blue-collar,married,secondary,no,-327.0,no
7907,35.0,blue-collar,married,secondary,no,682.0,no
7908,49.0,blue-collar,married,secondary,no,1219.0,no
7909,37.0,technician,single,secondary,no,-274.0,no
7910,24.0,admin.,married,secondary,no,61.0,yes
7911,41.0,blue-collar,married,primary,no,6596.0,no
7912,35.0,technician,married,secondary,no,4323.0,yes
7913,32.0,blue-collar,married,primary,no,-145.0,yes
7914,58.0,management,married,primary,no,1052.0,no
7915,50.0,blue-collar,married,primary,no,370.0,no
7916,25.0,blue-collar,single,secondary,no,-392.0,no
7917,36.0,entrepreneur,married,tertiary,no,4576.0,no
7918,33.0,technician,married,secondary,no,2362.0,no
7919,25.0,services,single,secondary,no,0.0,no
7920,46.0,management,married,secondary,no,1363.0,yes
7921,47.0,services,married,unknown,no,12839.0,no
7922,45.0,technician,single,secondary,no,29.0,no
7923,32.0,services,single,tertiary,no,1763.0,no
7924,31.0,technician,single,secondary,no,77.0,no
7925,25.0,student,single,secondary,no,520.0,no
7926,54.0,technician,married,secondary,no,6.0,no
7927,32.0,management,single,tertiary,yes,5.0,no
7928,39.0,technician,single,secondary,no,14.0,no
7929,44.0,technician,married,secondary,no,78.0,no
7930,45.0,technician,married,secondary,no,6993.0,no
7931,59.0,admin.,single,secondary,no,2166.0,yes
7932,34.0,management,married,tertiary,no,297.0,no
7933,23.0,technician,single,secondary,no,4659.0,no
7934,28.0,services,single,secondary,no,168.0,no
7935,33.0,technician,single,secondary,no,487.0,no
7936,36.0,management,single,tertiary,no,4.0,no
7937,35.0,management,single,tertiary,no,1618.0,yes
7938,35.0,services,single,secondary,no,544.0,no
7939,27.0,technician,single,secondary,no,905.0,yes
7940,39.0,management,single,tertiary,no,4239.0,no
7941,44.0,blue-collar,divorced,primary,no,-57.0,no
7942,38.0,entrepreneur,married,primary,no,-786.0,no
7943,32.0,blue-collar,married,secondary,no,428.0,no
7944,30.0,technician,single,tertiary,no,1271.0,no
7945,34.0,technician,married,secondary,no,-1490.0,yes
7946,32.0,blue-collar,married,primary,no,39.0,no
7947,30.0,services,single,secondary,no,-271.0,no
7948,33.0,entrepreneur,married,tertiary,no,2179.0,yes
7949,33.0,services,single,secondary,no,358.0,no
7950,26.0,blue-collar,single,secondary,no,2.0,no
7951,31.0,blue-collar,single,secondary,no,11639.0,no
7952,39.0,entrepreneur,divorced,secondary,no,-271.0,no
7953,55.0,blue-collar,divorced,secondary,no,-152.0,no
7954,51.0,services,married,primary,no,10150.0,no
7955,21.0,technician,single,secondary,no,64.0,no
7956,37.0,management,married,tertiary,no,502.0,no
7957,53.0,blue-collar,married,secondary,no,913.0,no
7958,44.0,blue-collar,married,primary,no,4031.0,no
7959,47.0,self-employed,married,secondary,no,4420.0,yes
7960,47.0,blue-collar,divorced,secondary,no,25.0,no
7961,32.0,management,married,tertiary,no,-55.0,no
7962,29.0,admin.,single,secondary,no,428.0,yes
7963,37.0,blue-collar,married,primary,no,223.0,no
7964,58.0,services,married,secondary,no,2745.0,no
7965,53.0,self-employed,married,secondary,no,1066.0,no
7966,44.0,services,married,secondary,no,191.0,yes
7967,46.0,blue-collar,married,primary,no,588.0,no
7968,24.0,admin.,single,secondary,no,1725.0,no
7969,48.0,management,married,tertiary,no,0.0,no
7970,51.0,entrepreneur,married,secondary,no,0.0,no
7971,54.0,management,married,tertiary,no,8509.0,no
7972,48.0,technician,married,secondary,no,-938.0,no
7973,46.0,technician,divorced,secondary,no,-1034.0,yes
7974,32.0,management,single,tertiary,no,-307.0,yes
7975,29.0,blue-collar,single,secondary,no,2891.0,no
7976,31.0,technician,married,secondary,no,504.0,yes
7977,34.0,technician,divorced,secondary,no,558.0,no
7978,31.0,blue-collar,single,secondary,no,0.0,no
7979,56.0,services,divorced,secondary,no,72.0,yes
7980,45.0,services,married,primary,no,-79.0,no
7981,42.0,blue-collar,married,secondary,no,2044.0,yes
7982,42.0,admin.,married,secondary,no,0.0,yes
7983,57.0,self-employed,married,tertiary,no,192.0,no
7984,39.0,technician,married,secondary,no,-475.0,no
7985,30.0,technician,single,secondary,no,359.0,no
7986,59.0,retired,married,secondary,no,599.0,no
7987,51.0,entrepreneur,married,tertiary,no,228.0,no
7988,54.0,management,divorced,tertiary,no,0.0,no
7989,37.0,blue-collar,single,secondary,no,2469.0,no
7990,35.0,technician,single,secondary,no,79.0,no
7991,30.0,management,married,secondary,yes,471.0,no
7992,53.0,management,married,tertiary,no,34230.0,yes
7993,57.0,management,married,tertiary,no,779.0,no
7994,60.0,blue-collar,married,secondary,no,322.0,no
7995,51.0,services,married,unknown,no,6.0,no
7996,51.0,retired,married,primary,no,670.0,no
7997,47.0,technician,divorced,tertiary,no,477.0,no
7998,41.0,management,married,tertiary,no,1072.0,no
7999,38.0,management,married,tertiary,no,0.0,no
8000,47.0,blue-collar,married,secondary,no,581.0,no
8001,33.0,technician,married,secondary,no,3071.0,yes
8002,53.0,admin.,single,primary,no,0.0,no
8003,37.0,blue-collar,married,secondary,no,7.0,yes
8004,41.0,services,single,secondary,no,-278.0,no
8005,48.0,blue-collar,married,secondary,yes,0.0,yes
8006,33.0,technician,married,secondary,no,399.0,no
8007,26.0,management,single,tertiary,no,4683.0,no
8008,37.0,services,married,secondary,no,1970.0,no
8009,41.0,technician,married,secondary,no,55.0,no
8010,32.0,technician,single,tertiary,no,4.0,no
8011,41.0,entrepreneur,married,secondary,no,-1882.0,no
8012,43.0,services,married,primary,no,-2122.0,yes
8013,45.0,management,single,tertiary,no,5694.0,no
8014,33.0,management,married,secondary,no,480.0,no
8015,39.0,blue-collar,married,secondary,no,0.0,no
8016,23.0,management,single,tertiary,no,736.0,no
8017,32.0,management,single,tertiary,no,0.0,no
8018,39.0,management,married,secondary,no,517.0,no
8019,56.0,admin.,married,secondary,no,0.0,no
8020,33.0,student,single,tertiary,no,4.0,no
8021,52.0,services,married,secondary,no,2257.0,no
8022,47.0,blue-collar,married,secondary,no,2173.0,no
8023,43.0,management,single,tertiary,no,-56.0,no
8024,31.0,management,married,tertiary,no,5238.0,yes
8025,40.0,technician,married,tertiary,no,1759.0,no
8026,33.0,unemployed,divorced,secondary,no,0.0,no
8027,30.0,blue-collar,married,secondary,no,246.0,no
8028,48.0,blue-collar,married,secondary,no,4770.0,yes
8029,33.0,services,married,secondary,no,244.0,no
8030,47.0,management,married,secondary,no,21.0,no
8031,43.0,management,married,primary,no,8167.0,no
8032,30.0,technician,single,secondary,no,4684.0,no
8033,35.0,admin.,married,secondary,no,122.0,no
8034,36.0,technician,divorced,tertiary,no,1174.0,no
8035,54.0,unknown,divorced,tertiary,no,2272.0,no
8036,31.0,admin.,married,secondary,no,0.0,yes
8037,53.0,self-employed,married,tertiary,no,2580.0,no
8038,42.0,management,married,tertiary,no,6060.0,no
8039,34.0,admin.,married,tertiary,no,899.0,no
8040,44.0,management,single,tertiary,no,709.0,no
8041,38.0,services,married,unknown,no,4644.0,no
8042,39.0,management,single,tertiary,no,0.0,no
8043,37.0,technician,married,secondary,no,712.0,no
8044,46.0,management,married,primary,no,1267.0,yes
8045,59.0,entrepreneur,married,primary,no,124.0,no
8046,38.0,management,divorced,unknown,no,0.0,no
8047,51.0,management,married,tertiary,no,2934.0,no
8048,44.0,technician,married,secondary,no,2626.0,no
8049,35.0,technician,married,secondary,no,0.0,no
8050,36.0,technician,divorced,secondary,no,5957.0,no
8051,36.0,technician,single,primary,no,2169.0,no
8052,32.0,housemaid,married,tertiary,no,357.0,no
8053,58.0,management,divorced,tertiary,no,5037.0,no
8054,38.0,technician,married,secondary,no,508.0,no
8055,39.0,admin.,single,secondary,no,720.0,no
8056,50.0,admin.,single,secondary,no,5816.0,no
8057,36.0,management,married,tertiary,no,549.0,no
8058,41.0,services,married,primary,no,4903.0,no
8059,45.0,technician,single,tertiary,no,0.0,no
8060,40.0,management,married,tertiary,no,5.0,no
8061,48.0,management,single,tertiary,no,3713.0,yes
8062,53.0,blue-collar,single,secondary,no,2430.0,yes
8063,34.0,blue-collar,single,secondary,no,20.0,yes
8064,59.0,technician,divorced,secondary,no,797.0,no
8065,41.0,management,married,secondary,no,99.0,no
8066,33.0,technician,married,secondary,no,0.0,yes
8067,52.0,blue-collar,married,tertiary,no,297.0,no
8068,37.0,services,married,primary,yes,-483.0,yes
8069,47.0,admin.,single,secondary,no,19.0,yes
8070,38.0,entrepreneur,married,tertiary,no,0.0,no
8071,31.0,management,single,tertiary,no,0.0,no
8072,38.0,self-employed,married,tertiary,no,3139.0,no
8073,34.0,management,married,tertiary,no,10031.0,no
8074,32.0,admin.,divorced,secondary,no,4.0,no
8075,36.0,services,married,secondary,no,0.0,no
8076,29.0,technician,married,secondary,no,132.0,yes
8077,39.0,services,married,secondary,no,173.0,no
8078,41.0,self-employed,married,tertiary,no,6000.0,no
8079,35.0,admin.,married,secondary,no,421.0,no
8080,47.0,management,divorced,tertiary,no,6333.0,no
8081,48.0,blue-collar,married,primary,no,-298.0,no
8082,56.0,management,married,tertiary,no,3610.0,no
8083,36.0,services,single,secondary,no,1482.0,no
8084,40.0,management,married,tertiary,no,11.0,no
8085,49.0,management,divorced,tertiary,no,0.0,no
8086,36.0,self-employed,divorced,secondary,no,-38.0,no
8087,34.0,blue-collar,married,primary,no,500.0,no
8088,40.0,blue-collar,married,secondary,no,1708.0,no
8089,32.0,management,married,tertiary,no,913.0,no
8090,33.0,admin.,divorced,secondary,no,1762.0,no
8091,32.0,management,single,secondary,no,416.0,no
8092,36.0,blue-collar,married,secondary,no,801.0,yes
8093,36.0,admin.,married,secondary,no,1207.0,no
8094,35.0,management,married,tertiary,no,646.0,no
8095,51.0,management,married,tertiary,no,-516.0,no
8096,33.0,admin.,married,tertiary,no,99.0,yes
8097,46.0,services,single,secondary,no,897.0,no
8098,54.0,blue-collar,married,secondary,no,506.0,no
8099,35.0,technician,married,secondary,no,518.0,no
8100,33.0,technician,married,secondary,no,2746.0,no
8101,39.0,admin.,single,secondary,no,720.0,no
8102,34.0,management,married,tertiary,no,1006.0,no
8103,56.0,blue-collar,divorced,primary,no,7396.0,no
8104,57.0,management,married,tertiary,no,1357.0,yes
8105,39.0,services,married,unknown,no,10189.0,no
8106,37.0,management,single,tertiary,no,5340.0,no
8107,42.0,entrepreneur,married,tertiary,no,337.0,yes
